Comment,Designator,Footprint,LCSC Part #
"Battery_Cell","BT3001","BatteryHolder_Keystone_1058_1x2032",""
"10n","C6001, C9002, C9003, C10002, C10003","C0805","C597285"
"10u","C6002, C6003, C9001, C10001","C0805","C440198"
"1N4148WS","D3001, D410, D412, D413, D414","SOD-323","C2128"
"10A","F2001, F2002, F2003, F2004","36911600000","C354908"
"50mA","F4001, F4002, F4003, F4004, F11001","Fuse_0603_1608Metric","C369141"
"Conn_02x12_Top_Bottom","J2001","348260240",""
"Conn_02x03_Top_Bottom","J2002","Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal",""
"USB_B","J3001","USB_B","C46392"
"Jumper_2_Bridged","JP2001","SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm",""
"Jumper_2_Open","JP2002, JP2006, JP2007, JP2008, JP2009, JP4001, JP4002, JP4003, JP4004","PAD-0805-PAD","C17477"
"Jumper_2_Bridged","JP2003","SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm",""
"Jumper_2_Bridged","JP2004","SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm",""
"Jumper_2_Bridged","JP2005","SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm",""
"Jumper_2_Bridged","JP2010","SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm",""
"Jumper_2_Bridged","JP2011","SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm",""
"Jumper_2_Bridged","JP2012","SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm",""
"134pin_7-967288-1_KC5","P2001","7-967288-1_134-pin-connector",""
"ISL9V3040D3ST","Q4001, Q4002, Q4003, Q4004, Q11001","DPAK","C462128"
"22","R4001, R4002, R4003, R4004, R11001","R0603","C23345"
"4.7k","R5001, R5002, R5003, R5004, R7001, R7002, R7003, R7004, R8001, R8002, R8003, R8004","R0603","C23162"
"1k","R9001, R9002, R10001, R10002, R440","R0603","C21190"
"10k","R9003, R9004, R10003, R10004","R0603","C98220"
"TestPoint","TP3001","TestPoint_Keystone_5000-5004_Miniature",""
"TestPoint","TP3002","TestPoint_Keystone_5000-5004_Miniature",""
"TestPoint","TP3003","TestPoint_Keystone_5000-5004_Miniature",""
"TestPoint","TP3004","TestPoint_Keystone_5000-5004_Miniature",""
"TestPoint","TP3005","TestPoint_Keystone_5000-5004_Miniature",""
"TestPoint","TP3006","TestPoint_Keystone_5000-5004_Miniature",""
"TestPoint","TP3007","TestPoint_Keystone_5000-5004_Miniature",""
"TestPoint","TP3008","TestPoint_Keystone_5000-5004_Miniature",""
"TestPoint","TP3009","TestPoint_Keystone_5000-5004_Miniature",""
"TestPoint","TP3010","TestPoint_Keystone_5000-5004_Miniature",""
"VNLD5160TR-E","U5001, U5002, U7001, U7002, U8001, U8002","SO8","C377942"
"MCP6002-xSN","U6001","SO8","C636235"
"TC4427xOA","U9001, U10001","SO8","C636893"
"47u","C410, C412","C1206","C96123"
"100n","C411, C413, C420, C470, C470_2","C0402","C307331"
"1u","C414, C415, C600, C607, C609, C610, C611","C0402","C52923"
"10u","C421, C422, C423, C424, C425, C426, C117","C0603","C96446"
"4.7u","C427, C616","C0603","C19666"
"10n","C428, C202, C208, C209, C210, C211, C212, C213, C214, C215","C0402","C15195"
"220p","C429","C0402","C1530"
"PSM712-LF","D411","SOT-23","C32677"
"B5819W","D416, D417, D101, D107, D440, D441","SOD-123","C8598"
"SMCJ30A","D418","SMC","C310046"
"SS34","D420","SMA","C8678"
"P6SMB6.8CA","D421, D205","SMB","C78395"
"SMD1206P050TF/24","F410","SMD1206","C209741"
"2.2uH","L420","L1210","C36828"
"MWSA0503-10uH","L421","MWSA0503","C139506"
"MHT136UGCT","LED1, LED2, LED3, LED4","LED0402","C434447"
"6.8k","R410, R413","R0402","C25917"
"33k","R411, R424, R425, R474, R474_2","R0402","C25779"
"1","R420","R0402","C25086"
"10k","R421, R426, R427, R102, R103, R105, R107, R108, R109, R121, R124, R126, R127, R128, R132, R135, R136, R137, R138, R139, R141, R142, R228, R229, R230, R231, R232, R233, R234, R235, R246, R247, R248, R249, R250, R251, R252, R253, R604, R605, R613, R614, R618, R619, R625","R0402","C25744"
"68k","R422, R602, R603","R0402","C36871"
"12k","R423, R472, R472_2","R0402","C25752"
"4.7k","R428, R144, R203, R204, R207, R208, R219, R220, R223, R224","R0402","C25900"
"MIC5205-3.3YM5","U410","SOT23-5","C37970"
"TLS115","U411","PG-DSO-8 EP","C540242"
"LMR14020","U420","SOP8","C187824"
"TJA1051T/3/1J","U100, U605, U430","SO8","C38695"
"STM32F429VGT6","U105","LQFP100","C95448"
"SRV05-4-P-T7","D102, D200, D202, D203, D206","SOT23-6","C85364"
"SN74LVC4245APWR","U103","TSSOP24","C7859"
"SN74LVC1G06DCKR","U110","SOT-353","C7828"
"SMD1206B035TF/16","F100, F101","R1206","C269114"
"REF3033","U102, U603","SOT-23","C36658"
"PESD1CAN","D100, D604, D430","SOT-23","C343993"
"Molex MicroSD 47219-2001","J100","SDAMB-012","C164170"
"MCP6004","U180, U185, U190, U195, U600","TSSOP14","C50282"
"LPS22HBTR","U107","HLGA-10L","C94049"
"LIS2DH12TR","U106","LGA12","C110926"
"LED-YELLOW-0603","D106","LED-0603","C72038"
"LED-RED-0603","D103, D600, D603","LED-0603","C2286"
"LED-GREEN-0603","D104, D108, D601","LED-0603","C72043"
